City,Company,Title,Job_Type,State,Seniority_Level,Employment_Type,Job_Function,Industries,Skills,latitude,longitude
Sydney,ubank,Data Engineer,Data Engineer,New South Wales,Associate,Full-time,Engineering,IT Services and IT Consulting and Financial Services,"aws, jira, python, spark, sql",-33.865,151.2094
Sydney,Tourism Australia,Data Engineer,Data Engineer,New South Wales,Not Applicable,Full-time,Other,Advertising Services,"azure, excel, python, sql",-33.865,151.2094
Sydney,Pinpoint Talent,Data Analyst,Data Analyst,New South Wales,Associate,Contract,Information Technology,"IT Services and IT Consulting, Government Relations Services, and Hospitals and Health Care","azure, python, r, sql",-33.865,151.2094
Sydney,Cover Genius,Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,"Banking, Insurance, and Financial Services","c, python, sql",-33.865,151.2094
Sydney,Ofload,Senior Data Analyst,Data Analyst,New South Wales,Mid-Senior level,Full-time,Analyst,Truck Transportation,"python, sql, tableau",-33.865,151.2094
Sydney,face2face Recruitment,Senior Data Analyst,Data Analyst,New South Wales,Associate,Contract,Information Technology,Staffing and Recruiting,"excel, r",-33.865,151.2094
Sydney,Aware Super,Data Engineer,Data Engineer,New South Wales,Not Applicable,Full-time,Information Technology,Financial Services,"azure, snowflake, sql",-33.865,151.2094
Sydney,Flare,Data Engineer,Data Engineer,New South Wales,Associate,Full-time,"Engineering, Information Technology, and Design","Information Services, Software Development, and Financial Services","azure, c, snowflake, sql",-33.865,151.2094
Sydney,Equifax,Senior Data Analyst,Data Analyst,New South Wales,Mid-Senior level,Full-time,Information Technology,Credit Intermediation,"java, python, r, sql, tableau",-33.865,151.2094
Sydney,Mane Consulting,BI/Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"azure, sql",-33.865,151.2094
Sydney,Macquarie Group,Senior Data Engineer,Data Engineer,New South Wales,Not Applicable,Full-time,Information Technology,"Banking, Financial Services, and Investment Banking","aws, excel, go, java, python, scala, spark, sql",-33.865,151.2094
Sydney,Parktrail Associates,Data Engineer - ETL Developer move into the Cloud,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting,"aws, azure, go, jenkins, python, scala, snowflake, spark, sql",-33.865,151.2094
Sydney,Accedo.tv,Data Analyst,Data Analyst,New South Wales,Entry level,Full-time,Information Technology,Software Development,"excel, powerbi, tableau",-33.865,151.2094
Sydney,NSW Department of Education,Business and Data Analyst,Data Analyst,New South Wales,Not Applicable,Full-time,Information Technology,Government Administration,,-33.865,151.2094
Sydney,Allianz Australia,"Data Engineers- Sydney, Melbourne and Brisbane",Data Engineer,New South Wales,Not Applicable,Full-time,Information Technology,Insurance and Financial Services,"go, java, python, scala, spark, sql",-33.865,151.2094
Sydney,Talenza,Data Analyst,Data Analyst,New South Wales,Entry level,Full-time,Information Technology,Staffing and Recruiting,,-33.865,151.2094
Sydney,ING Australia,Data Engineer,Data Engineer,New South Wales,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Banking, and Financial Services",,-33.865,151.2094
Sydney,VGW,Senior Data Scientist,Data Scientist,New South Wales,Mid-Senior level,Full-time,Engineering and Information Technology,Computer Games,"python, sql, tableau",-33.865,151.2094
Sydney,Lion,Data Scientist,Data Scientist,New South Wales,Mid-Senior level,Full-time,Analyst and Information Technology,Food and Beverage Services and Manufacturing,"aws, excel, python, sql",-33.865,151.2094
Sydney,I work for NSW,Data Analyst,Data Analyst,New South Wales,Not Applicable,Temporary,Information Technology,Government Administration,"go, r, tableau",-33.865,151.2094
Sydney,Thales,Data Engineer,Data Engineer,New South Wales,Not Applicable,Full-time,"Analyst, Information Technology, and Engineering",Defense and Space Manufacturing and Aviation and Aerospace Component Manufacturing,"azure, git, jenkins, jira, python, r, spark, sql",-33.865,151.2094
Sydney,EY,Data Engineer - Consultant/Senior Consultant/Manager,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,Accounting,"aws, azure, go, powerbi, python, r, spark, sql",-33.865,151.2094
Sydney,TPG Telecom,Senior Data Analyst,Data Analyst,New South Wales,Associate,Full-time,Information Technology,Telecommunications,"aws, powerbi, python, sql, tableau",-33.865,151.2094
Sydney,"Susquehanna International Group, LLP (SIG)",Reference Data Analyst,Data Analyst,New South Wales,Entry level,Full-time,Information Technology,Financial Services,sql,-33.865,151.2094
Sydney,Hire Digital,Data Scientist (Remote),Data Scientist,New South Wales,Mid-Senior level,Part-time,Engineering and Information Technology,Advertising Services,"excel, powerbi, python, r, sql, tableau",-33.865,151.2094
Sydney,Macquarie Group,Senior Data Engineer – Sydney – Senior Manager,Data Engineer,New South Wales,Not Applicable,Full-time,Information Technology,"Banking, Financial Services, and Investment Banking","aws, excel, python, spark, sql",-33.865,151.2094
Sydney,Macquarie Group,Data Analyst,Data Analyst,New South Wales,Not Applicable,Full-time,Information Technology,"Banking, Financial Services, and Investment Banking","powerbi, sql",-33.865,151.2094
Sydney,Ignite,Lead Data Engineer- Dataiku,Data Engineer,New South Wales,Associate,Contract,Information Technology,Staffing and Recruiting,azure,-33.865,151.2094
Sydney,Infosys,Real Time Data Engineer,Data Engineer,New South Wales,Entry level,Full-time,Information Technology,Computer Networking Products,"aws, azure, java, matplotlib, python, scala, spark, sql",-33.865,151.2094
Sydney,Zoomo,Senior Data Analyst,Data Analyst,New South Wales,Associate,Full-time,Information Technology,Motor Vehicle Manufacturing,"python, r, sql, tableau",-33.865,151.2094
Sydney,Macquarie Group,Data Engineer,Data Engineer,New South Wales,Not Applicable,Full-time,Information Technology,"Banking, Financial Services, and Investment Banking","aws, spark, sql, tableau",-33.865,151.2094
Sydney,Jobs via eFinancialCareers,Data Analyst,Data Analyst,New South Wales,Entry level,Full-time,Information Technology,Staffing and Recruiting,sql,-33.865,151.2094
Sydney,Macquarie Group,Senior Data Engineer,Data Engineer,New South Wales,Not Applicable,Full-time,Information Technology,"Banking, Financial Services, and Investment Banking","aws, python, spark",-33.865,151.2094
Sydney,Parktrail Associates,Data Engineer -Data Warehouse Focus - Data Product Role - Azure - Remote -,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting,"aws, azure, c, java, python, scala, snowflake, sql",-33.865,151.2094
Sydney,PLAYGROUND XYZ,Data Engineer,Data Engineer,New South Wales,Entry level,Full-time,Information Technology,Advertising Services,"javascript, jira, python, sql",-33.865,151.2094
Sydney,Macquarie Group,Senior Data Engineer,Data Engineer,New South Wales,Not Applicable,Full-time,Information Technology,"Banking, Financial Services, and Investment Banking","aws, excel, java, python, scala, spark",-33.865,151.2094
Sydney,Macquarie Group,Commodities and Global Markets | Technology Data Analyst,Data Analyst,New South Wales,Not Applicable,Full-time,Purchasing and Supply Chain,"Banking, Financial Services, and Investment Banking","python, sql",-33.865,151.2094
Sydney,Talent Insights Group,Data Analyst,Data Analyst,New South Wales,Associate,Contract,Analyst and Marketing,Retail and Hospitality,"sql, tableau",-33.865,151.2094
Sydney,Fujitsu Australia and New Zealand,Data Engineer,Data Engineer,New South Wales,Not Applicable,Full-time,Information Technology,IT Services and IT Consulting,sql,-33.865,151.2094
Sydney,Domain,Data Engineer,Data Engineer,New South Wales,Associate,Full-time,Information Technology,IT Services and IT Consulting,"aws, python, r, snowflake, sql, tableau",-33.865,151.2094
Sydney,Quantium,Big Data Engineer,Data Engineer,New South Wales,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"git, scala, spark",-33.865,151.2094
Sydney,Deputy,Data Engineer,Data Engineer,New South Wales,Entry level,Full-time,"Project Management, General Business, and Management",IT Services and IT Consulting and Software Development,"aws, java, python, snowflake, sql",-33.865,151.2094
Sydney,amaysim,Data Analyst - amaysim,Data Analyst,New South Wales,Entry level,Full-time,Information Technology,Telecommunications,"excel, spark, sql, tableau",-33.865,151.2094
Sydney,Willow,Senior Data Engineer - Azure,Data Engineer,New South Wales,Associate,Full-time,Information Technology,Software Development,"azure, c, git, python, snowflake, spark, sql, tableau",-33.865,151.2094
Sydney,CYOS Solutions,Senior Data Engineer,Data Engineer,New South Wales,Associate,Full-time,Information Technology,Staffing and Recruiting,java,-33.865,151.2094
Sydney,Accenture Australia,AWS Data Engineer-AU Citizen Only,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"aws, python, sql",-33.865,151.2094
Sydney,Net2Source Inc.,Data Analyst,Data Analyst,New South Wales,Entry level,Contract,Information Technology,Staffing and Recruiting,"excel, sql",-33.865,151.2094
Sydney,Michael Page,Data Engineer - MarTech,Data Engineer,New South Wales,Entry level,Full-time,Information Technology,Financial Services,python,-33.865,151.2094
Sydney,CBRE Asia Pacific,Sustainability Data Analyst,Data Analyst,New South Wales,Entry level,Full-time,Analyst and Consulting,Leasing Non-residential Real Estate and Real Estate,,-33.865,151.2094
Sydney,Fractal,Data Analyst,Data Analyst,New South Wales,Entry level,Full-time,Information Technology,Business Consulting and Services,sql,-33.865,151.2094
Sydney,Talenza,Senior Data Analyst,Data Analyst,New South Wales,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,,-33.865,151.2094
Sydney,Peoplebank,SAP Data Analyst,Data Analyst,New South Wales,Entry level,Contract,Information Technology,Staffing and Recruiting,,-33.865,151.2094
Sydney,Nine,Data Engineer,Data Engineer,New South Wales,Associate,Full-time,Information Technology,"Online Audio and Video Media, Book and Periodical Publishing, and Broadcast Media Production and Distribution","aws, git",-33.865,151.2094
Sydney,Servian,Senior Data Analyst,Data Analyst,New South Wales,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"aws, azure, sql",-33.865,151.2094
Sydney,Randstad Australia,Lead Data Scientist,Data Scientist,New South Wales,Not Applicable,Full-time,Information Technology,IT Services and IT Consulting,"python, r, sql",-33.865,151.2094
Sydney,Commonwealth Bank,Senior Data Engineer,Data Engineer,New South Wales,Associate,Full-time,Information Technology,Banking,"java, python, r, scala, spark, sql, tableau",-33.865,151.2094
Sydney,Bluestone Home Loans,Senior Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,Financial Services,"aws, jira, spark, sql",-33.865,151.2094
Sydney,Net2Source Inc.,Business Analyst / Data Analyst,Data Analyst,New South Wales,Associate,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting,"jira, sql",-33.865,151.2094
Sydney,Client Server,Senior Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology and Engineering,IT Services and IT Consulting and Broadcast Media Production and Distribution,"aws, java, python, scala, spark, sql",-33.865,151.2094
Sydney,Optus,Senior Credit Data Scientist,Data Scientist,New South Wales,Associate,Full-time,Engineering and Information Technology,Telecommunications,"go, python, r, sql, tableau",-33.865,151.2094
Sydney,Green Light Worldwide,SAS/SQL Data Engineer,Data Engineer,New South Wales,Associate,Contract,Information Technology,IT Services and IT Consulting,"jira, sql",-33.865,151.2094
Sydney,Crypto Recruit,Data Engineer - DeFi,Data Engineer,New South Wales,Entry level,Full-time,Information Technology,Human Resources Services,"python, sql",-33.865,151.2094
Sydney,Woolworths Group,Senior Data Scientist,Data Scientist,New South Wales,Mid-Senior level,Full-time,Engineering and Information Technology,Food and Beverage Retail,"azure, python, sql",-33.865,151.2094
Sydney,Zone IT Solutions,Data Analyst,Data Analyst,New South Wales,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"powerbi, sql",-33.865,151.2094
Sydney,Insignia Financial,Senior Data Analyst,Data Analyst,New South Wales,Associate,Full-time,"Research, Strategy/Planning, and Analyst",Financial Services,sql,-33.865,151.2094
Sydney,Parktrail Associates,Data Engineer / AWS / Snowflake Consultant,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting and Business Consulting and Services,"aws, azure, python, snowflake, spark",-33.865,151.2094
Sydney,Infosys,Big Data Engineer,Data Engineer,New South Wales,Entry level,Full-time,Engineering and Information Technology,Computer Networking Products,"aws, azure, java, matplotlib, python, scala, spark, sql",-33.865,151.2094
Sydney,Woolworths Group,Lead Data Scientist,Data Scientist,New South Wales,Mid-Senior level,Full-time,Engineering and Information Technology,Food and Beverage Retail,"python, r, spark, sql",-33.865,151.2094
Sydney,ubank,Data Engineer,Data Engineer,New South Wales,Associate,Full-time,"Information Technology, Engineering, and Other","IT Services and IT Consulting, Banking, and Financial Services","aws, jira, python, spark, sql",-33.865,151.2094
Sydney,EY,Data Engineer - Financial Services - Senior Consultant / Manager,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,Accounting,"aws, azure, powerbi, python, r, spark, sql, tableau",-33.865,151.2094
Sydney,Mane Consulting,Senior Data Engineer,Data Engineer,New South Wales,Associate,Full-time,Information Technology,IT Services and IT Consulting,"azure, c, powerbi, python, sql",-33.865,151.2094
Sydney,Innovior,Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,Business Consulting and Services,"aws, azure, excel, powerbi, python, scala, spark, sql",-33.865,151.2094
Sydney,The Recruitment Company Pty Ltd,Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,Banking,"jira, python, spark, sql",-33.865,151.2094
Sydney,Canva,Senior Data Engineer (Open to Remote across ANZ),Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,Software Development,"aws, go, python, snowflake, sql",-33.865,151.2094
Sydney,Balance Recruitment and Balance Consulting,Junior Data Engineer,Data Engineer,New South Wales,Associate,Full-time,Information Technology and Engineering,Software Development and Computer and Network Security,"aws, azure, java, sql",-33.865,151.2094
Sydney,Servian,Data Engineer/Consultant -,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"aws, azure, java, python, scala, snowflake, spark, sql",-33.865,151.2094
Sydney,Accenture Australia,Google Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology and Consulting,IT Services and IT Consulting,"spark, sql, tensorflow",-33.865,151.2094
Sydney,Canva,Senior Marketing Data Analyst (Open for Remote across ANZ),Data Analyst,New South Wales,Mid-Senior level,Full-time,Information Technology,Software Development,"python, r, snowflake, sql",-33.865,151.2094
Sydney,EY,EOI - Senior Business/Data Analyst - Decision Science & Analytics (Sydney),Data Analyst,New South Wales,Mid-Senior level,Full-time,Information Technology,Accounting,"excel, html, javascript, python, r, tableau",-33.865,151.2094
Sydney,Hays,Senior Data Engineer,Data Engineer,New South Wales,Associate,Contract,Information Technology,IT Services and IT Consulting,"powerbi, python, sql",-33.865,151.2094
Sydney,Arq Group,AWS Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology and Consulting,IT Services and IT Consulting,"aws, python, sql",-33.865,151.2094
Sydney,Aginic,Senior Data Engineer,Data Engineer,New South Wales,Associate,Full-time,Information Technology,IT Services and IT Consulting,"go, java, python",-33.865,151.2094
Sydney,Endeavour Group,Data Scientist (all levels) - Attribution,Data Scientist,New South Wales,Mid-Senior level,Full-time,Engineering and Information Technology,Retail,"powerbi, python, spark, sql, tableau",-33.865,151.2094
Sydney,NAB,Senior Business Control & Data Analyst,Data Analyst,New South Wales,Mid-Senior level,Full-time,Analyst and Finance,Banking,"excel, jira, sql",-33.865,151.2094
Sydney,Denodo,Data Engineer,Data Engineer,New South Wales,Not Applicable,Full-time,Business Development and Sales,Software Development,"aws, azure, git, java, sql",-33.865,151.2094
Sydney,Adecco,Data Analyst - General Insurance,Data Analyst,New South Wales,Associate,Full-time,Information Technology,Staffing and Recruiting,excel,-33.865,151.2094
Sydney,tekFinder,Data Engineering Roles - Python/SQL - Up to 140k Package Incl Super 10% Bonus,Data Engineer,New South Wales,Entry level,Full-time,Information Technology,Staffing and Recruiting,"python, spark, sql",-33.865,151.2094
Sydney,BIG W,Data Engineer | BIG W,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,Retail,"python, sql",-33.865,151.2094
Sydney,Mane Consulting,Fund Manager - Performance & Data Analyst,Data Analyst,New South Wales,Associate,Full-time,Accounting/Auditing and Finance,"Financial Services, Investment Banking, and Investment Management","excel, powerbi, sql",-33.865,151.2094
Sydney,Crescentia Global Talent Solutions,HPC Advanced Data Scientist AI / ML,Data Scientist,New South Wales,Entry level,Contract,Engineering and Information Technology,IT Services and IT Consulting,"python, r",-33.865,151.2094
Sydney,Zone IT Solutions,Big Data Engineer,Data Engineer,New South Wales,Entry level,Full-time,Information Technology,IT Services and IT Consulting,"azure, c, go, java, javascript, python, ruby, scala, spark, sql, swift",-33.865,151.2094
Sydney,Programmed,Data Engineer,Data Engineer,New South Wales,Entry level,Full-time,Information Technology and Engineering,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet","azure, sql",-33.865,151.2094
Sydney,Woolworths Group,Senior Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,Food and Beverage Retail,"python, sql",-33.865,151.2094
Sydney,Troocoo,Principal Data Engineer,Data Engineer,New South Wales,Associate,Full-time,Information Technology and Engineering,"IT Services and IT Consulting, Advertising Services, and Financial Services","azure, python, sql",-33.865,151.2094
Sydney,Commonwealth Bank,Senior Data Engineer,Data Engineer,New South Wales,Associate,Full-time,Information Technology,Banking,"java, python, r, scala, spark, sql, tableau",-33.865,151.2094
Sydney,Endeavour Group,Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,Retail,"azure, python, sql",-33.865,151.2094
Sydney,White Bay,Senior Data Analyst (Finance & Reporting),Data Analyst,New South Wales,Mid-Senior level,Full-time,Information Technology and Accounting/Auditing,IT Services and IT Consulting and Software Development,"excel, r, sql, tableau",-33.865,151.2094
Sydney,Commonwealth Bank,Senior Data Engineer,Data Engineer,New South Wales,Associate,Full-time,Information Technology,Banking,"aws, jenkins, sql",-33.865,151.2094
Sydney,Allianz Australia,Data Scientist,Data Scientist,New South Wales,Not Applicable,Full-time,Engineering and Information Technology,Insurance and Financial Services,python,-33.865,151.2094
Sydney,ResMed,BI/Data Engineer Lead,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,"IT Services and IT Consulting, Medical Equipment Manufacturing, and Software Development","excel, snowflake, sql",-33.865,151.2094
Sydney,The RBOL Group,Snr Data Engineer,Data Engineer,New South Wales,Associate,Full-time,Information Technology,Staffing and Recruiting,"aws, python, spark",-33.865,151.2094
Sydney,Woolworths Group,Senior Data Scientist,Data Scientist,New South Wales,Mid-Senior level,Full-time,Engineering and Information Technology,Food and Beverage Retail,"azure, python, sql",-33.865,151.2094
Sydney,eliiza,Senior Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology and Consulting,IT Services and IT Consulting and Business Consulting and Services,"aws, azure, java, python, scala, snowflake, spark",-33.865,151.2094
Sydney,FIRESOFT People,Data Scientist,Data Scientist,New South Wales,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"azure, python, snowflake, sql, tableau",-33.865,151.2094
Sydney,PERSOLKELLY ANZ,Data Engineer,Data Engineer,New South Wales,Entry level,Full-time,Information Technology,Staffing and Recruiting,"azure, sql",-33.865,151.2094
Sydney,Fractal,Data Engineer - SQL,Data Engineer,New South Wales,Entry level,Full-time,Information Technology,Business Consulting and Services,"azure, sql",-33.865,151.2094
Sydney,Deloitte,Data Scientist/ Manager - Multiple Locations,Data Scientist,New South Wales,Mid-Senior level,Full-time,Engineering and Information Technology,Legal Services,"python, r, sql, tableau",-33.865,151.2094
Sydney,SEISMA GROUP,"Data Engineer | Spark, Hadoop, Python| Big Bank | 12months",Data Engineer,New South Wales,Entry level,Contract,Information Technology,IT Services and IT Consulting,"aws, jenkins, jira, spark, sql",-33.865,151.2094
Sydney,Hays,Senior Data Engineer,Data Engineer,New South Wales,Associate,Full-time,Information Technology,IT Services and IT Consulting,"aws, sql, tableau",-33.865,151.2094
Sydney,Azenix,Azure Data Engineer (Senior - Lead),Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"aws, azure",-33.865,151.2094
Sydney,KPMG Australia,Data Engineers - Senior Consultant and Manager,Data Engineer,New South Wales,Not Applicable,Full-time,Information Technology,"Financial Services, Business Consulting and Services, and Accounting","azure, c, python, r, scala, sql",-33.865,151.2094
Sydney,Carma,Lead Data Engineer,Data Engineer,New South Wales,Associate,Full-time,Information Technology,"Technology, Information and Internet","git, python, spark, sql",-33.865,151.2094
Sydney,Peoplebank,Senior Data Engineer,Data Engineer,New South Wales,Associate,Full-time,Information Technology,Staffing and Recruiting,"git, jira, sql",-33.865,151.2094
Sydney,Resolution Life,Data Engineer - Python,Data Engineer,New South Wales,Entry level,Full-time,Information Technology,IT Services and IT Consulting,"python, snowflake",-33.865,151.2094
Sydney,Jobs via eFinancialCareers,Data Analyst,Data Analyst,New South Wales,Entry level,Full-time,Information Technology,Staffing and Recruiting,sql,-33.865,151.2094
Sydney,Hastha Solutions,Senior Data Analyst - Permanent - Sydney,Data Analyst,New South Wales,Associate,Full-time,Information Technology,IT Services and IT Consulting,,-33.865,151.2094
Sydney,Domain,Senior Data Scientist,Data Scientist,New South Wales,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"azure, git, matplotlib, python",-33.865,151.2094
Sydney,Allianz Australia,Analytics Graduate Data Engineer,Data Engineer,New South Wales,Not Applicable,Full-time,Information Technology,Insurance and Financial Services,"go, java, python, scala, spark, sql",-33.865,151.2094
Sydney,Jobs via eFinancialCareers,Reference Data Analyst,Data Analyst,New South Wales,Entry level,Full-time,Information Technology,Staffing and Recruiting,sql,-33.865,151.2094
Sydney,Billigence,Data Engineer | Advanced SQL | 6 Month contract |,Data Engineer,New South Wales,Mid-Senior level,Contract,"Information Technology, Engineering, and Analyst",IT Services and IT Consulting,"snowflake, sql, tableau",-33.865,151.2094
Sydney,Net2Source Inc.,Sr. Data Engineer,Data Engineer,New South Wales,Associate,Contract,Information Technology,Staffing and Recruiting,"aws, excel, java, python, scala, spark",-33.865,151.2094
Sydney,Department of Family and Community Services (NSW),Senior Data Analyst,Data Analyst,New South Wales,Associate,Full-time,Other,Individual and Family Services and Government Administration,r,-33.865,151.2094
Sydney,Green Light Worldwide,Tableau Data Engineer,Data Engineer,New South Wales,Associate,Full-time,Information Technology,IT Services and IT Consulting,"sql, tableau",-33.865,151.2094
Sydney,Net2Source Inc.,Data Analyst,Data Analyst,New South Wales,Entry level,Contract,Information Technology,Staffing and Recruiting,"excel, sql",-33.865,151.2094
Sydney,IBM,Data Engineer - Data Integration – 24 months Hire - Sydney,Data Engineer,New South Wales,Not Applicable,Full-time,Other,Computer Hardware Manufacturing,,-33.865,151.2094
Sydney,PLAYGROUND XYZ,Data Engineer (Australia East Coast),Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology and Engineering,IT Services and IT Consulting and Software Development,"javascript, jira, python, sql",-33.865,151.2094
Sydney,Expert360,Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting,"aws, azure",-33.865,151.2094
Sydney,Hastha Solutions,Senior Cloud Data Engineer - Perm/Contract - Sydney,Data Engineer,New South Wales,Associate,Full-time,Information Technology,IT Services and IT Consulting,"azure, tableau",-33.865,151.2094
Sydney,Quantium,Senior Big Data Engineer (Scala / Spark),Data Engineer,New South Wales,Associate,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"git, scala, spark",-33.865,151.2094
Sydney,Capgemini,Senior Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting and Business Consulting and Services,"azure, sql",-33.865,151.2094
Sydney,UNSW,Data Scientist - Centre for Big Data Research in Health,Data Scientist,New South Wales,Entry level,Full-time,Engineering and Information Technology,Higher Education and Research Services,,-33.865,151.2094
Sydney,Canva,Lead Data Analyst - Experimentation (Remote),Data Analyst,New South Wales,Associate,Full-time,Information Technology,Software Development,"python, r, snowflake, sql",-33.865,151.2094
Sydney,Nine,Senior Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,"Online Audio and Video Media, Book and Periodical Publishing, and Broadcast Media Production and Distribution","python, sql, tableau",-33.865,151.2094
Sydney,I work for NSW,Senior Data Analyst,Data Analyst,New South Wales,Not Applicable,Full-time,Information Technology,Government Administration,r,-33.865,151.2094
Sydney,eliiza,Senior Data Scientist,Data Scientist,New South Wales,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"python, r",-33.865,151.2094
Sydney,Macquarie Group,Data Engineer,Data Engineer,New South Wales,Not Applicable,Full-time,Information Technology,"Banking, Financial Services, and Investment Banking","aws, python, spark",-33.865,151.2094
Sydney,TheDriveGroup.,Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"aws, azure, snowflake, spark, sql",-33.865,151.2094
Sydney,PLAYGROUND XYZ,Senior Data Engineer,Data Engineer,New South Wales,Associate,Full-time,Information Technology,Advertising Services,"javascript, jira, python, sql",-33.865,151.2094
Sydney,Antler,"Founder / Co-Founder (Software Engineer, Full Stack Developer, Data Scientist)",Data Scientist,New South Wales,Mid-Senior level,Full-time,Engineering and Product Management,IT Services and IT Consulting and Venture Capital and Private Equity Principals,c,-33.865,151.2094
Sydney,Arq Group,Azure Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology and Consulting,IT Services and IT Consulting,"azure, spark, sql",-33.865,151.2094
Sydney,Macquarie Group,Data Engineer,Data Engineer,New South Wales,Not Applicable,Contract,Information Technology,"Banking, Financial Services, and Investment Banking","aws, excel, python, spark, sql",-33.865,151.2094
Sydney,Limelight People,Senior Data Engineer – Leading Australian FinTech,Data Engineer,New South Wales,Associate,Full-time,Information Technology,Staffing and Recruiting,"aws, javascript, python, r, sql",-33.865,151.2094
Sydney,Troocoo,Senior Data Scientist,Data Scientist,New South Wales,Associate,Full-time,Information Technology and Engineering,"IT Services and IT Consulting, Advertising Services, and Financial Services",python,-33.865,151.2094
Sydney,Troocoo,Data Scientist,Data Scientist,New South Wales,Entry level,Full-time,Information Technology and Engineering,"IT Services and IT Consulting, Advertising Services, and Financial Services",,-33.865,151.2094
Sydney,Ignite,Data Engineer – Data Modelling,Data Engineer,New South Wales,Entry level,Contract,Information Technology,Staffing and Recruiting,"aws, azure, python, snowflake, sql",-33.865,151.2094
Sydney,Fractal,Data Engineer,Data Engineer,New South Wales,Entry level,Full-time,Information Technology,Business Consulting and Services,"aws, go, java, python, scala, spark, sql",-33.865,151.2094
Sydney,Peoplebank,Data Scientist,Data Scientist,New South Wales,Entry level,Contract,Engineering and Information Technology,Staffing and Recruiting,"jira, python, r, sql, tableau",-33.865,151.2094
Sydney,Mantel Group,Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology and Consulting,IT Services and IT Consulting and Business Consulting and Services,"aws, azure, java, python, scala, snowflake, spark",-33.865,151.2094
Sydney,Continuum Recruitment,Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting and Business Consulting and Services,"c, snowflake, sql",-33.865,151.2094
Sydney,Crescentia Global Talent Solutions,HPC Senior Data Scientist,Data Scientist,New South Wales,Associate,Contract,Engineering and Information Technology,IT Services and IT Consulting,"c, java, python, r, sql",-33.865,151.2094
Sydney,Zurich Australia,Data Engineer,Data Engineer,New South Wales,Mid-Senior level,Full-time,Information Technology,Insurance and Financial Services,,-33.865,151.2094
Sydney,Quantium,Data Engineer,Data Engineer,New South Wales,Entry level,Full-time,Information Technology,IT Services and IT Consulting,"python, scala, snowflake, spark, sql",-33.865,151.2094
Sydney,Mane Consulting,Data Engineer | Azure,Data Engineer,New South Wales,Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting,"azure, python, sql",-33.865,151.2094
